ID: 1122253397657292802,,,,no,27/04/19 21:37:15,@El_Universal_Mx Al fin...,Twitter for iPhone,view tweet url
ID: 1122254259796316160,,,,no,27/04/19 21:40:40,@El_Universal_Mx Y por tomar instalaciones petroleras cuanto.PORQUE EL DR MEMELOSKY HACE COMO 35 AÑOS TOMO TRES POSOS EN FL SURESTE,Twitter for Android,view tweet url
ID: 1122257106172895232,,,,no,27/04/19 21:51:59,"@El_Universal_Mx Ya basta de tanto desorden, eso dw besos y abrazos nos esta llevando al libertinaje",Twitter for Android,view tweet url
ID: 1122259162350661633,,,,no,27/04/19 22:00:09,@El_Universal_Mx Pueden ser o serán sancionados es la diferencia entre impunidad y aplicar las leyes.,Twitter for Android,view tweet url
ID: 1122259530425876480,,,,no,27/04/19 22:01:37,@El_Universal_Mx Pueden .... chinga apliquen la ley y húndanlos 5-10 años pero háganlo,Twitter for iPhone,view tweet url
ID: 1122260046321262592,,,,no,27/04/19 22:03:40,@El_Universal_Mx @SCT_mx @lopezobrador_ Y entonces porque no se hace nada en la caseta de Cuernavaca ?,Twitter for iPhone,view tweet url
ID: 1122260578590789632,,,,no,27/04/19 22:05:47,Aja,Twitter for Android,view tweet url
ID: 1122264936044879872,,,,no,27/04/19 22:23:06,"@El_Universal_Mx La oposición encuentra cualquier cosa para joder,si se toman las casetas,si no se limpian los zapatos,si las corbatas,ya se pasaron de simplistas,quieren que a México le vaya mal,no vamos a claudicar,vamos a sacar adelante a México para que ustedes lo disfruten también!",Twitter for iPhone,view tweet url
ID: 1122268427324989441,,,,no,27/04/19 22:36:58,@El_Universal_Mx Y yo no veo ni uno sólo detenido por eso.,Twitter for Android,view tweet url
ID: 1122268921556537346,,,,no,27/04/19 22:38:56,@El_Universal_Mx Ah ok! Y entonces @FGRMexico  vas a tomar acciones o solo lo dices por convivir?,Twitter for iPhone,view tweet url
ID: 1122269352374484992,,,,no,27/04/19 22:40:39,"@El_Universal_Mx Así como los asesinatos, pero estamos en un país donde no pasa nada",Twitter for Android,view tweet url
ID: 1122272723563098112,,,,no,27/04/19 22:54:02,"@El_Universal_Mx Y eso que? La ley puede decir misa... Pero su presidente no hace nada y la Policía menos... Y a los demás les vale má... por que saben que no les va a pasar nada, nadie los toca, por eso está el país hecho un desastre...",Twitter for Android,view tweet url
ID: 1122273976707948544,,,2,no,27/04/19 22:59:01,"@cavazosdaniel @El_Universal_Mx Tu presidente No... El solo sabe  ""amor y paz y perdón"" (y de ayudar a los delincuentes con ""apoyos"" cuando se ""queman"" por ejemplo)La Policía tampoco, le teme a la Protectora de Animales (CNDH)Solo nos queda el Chavo del 8.... Y por cierto...ya ""felpo""...Osea...Ya Valió Monja",Twitter for Android,view tweet url
ID: 1122275512871571457,,,,no,27/04/19 23:05:07,En Tijuana Ensenada están tomadas y no pasa nada ?,Twitter for iPhone,view tweet url
ID: 1122276586877857793,,,,no,27/04/19 23:09:23,"@El_Universal_Mx Ajá!!!, Si, siempre hemos sabido eso, y que? Siguen tomando casetas y robando a los automovilistas porqué así no aplica el seguro, y se supone que parte de lo que es recaude va a parar al gobierno para ser utilizado en otras vías o programas sociales, o no? Es corrupción no?",Twitter for iPhone,view tweet url
